"goods_id";"goods_name";"goods_price";"goods_detail";"goods_img_path";"goods_small_img_path"
"10000000";"云龙县诺邓盐泥火腿";198.0;"诺邓火腿产区土壤有机质含量高，疏松、透气、排水良好；草山草场资源丰富水资源丰富，周边无污染，水质优良；属大陆性亚热带高原季风气候。诺邓火腿滋味品鉴口感鲜美，咸淡适中，香而回甜，回味悠长。";"/content/image/product1/01.jpg";"/content/image/HomePage/SmallImg/01.jpg"
"10000001";"云龙县五谷粗粮高端礼盒";158.0;"粗杂粮有利于糖尿病用粗杂粮代替部分细粮有助于糖尿病患者控制血糖 研究表明，进食粗杂粮及杂豆类后的餐后血糖变化一般小于小麦和普通稻米，利于糖尿病病人血糖控制。国外一些糖尿病膳食指导组织已建议糖尿病病人尽量选择食用粗杂粮及杂豆类，可将它们作为主食或主食的一部分食用。但是这些粗杂粮和杂豆类维持餐后血糖反应的能力也是不同的。如燕麦、荞麦、大麦、红米、黑米、赤小豆、扁豆等可明显缓解糖尿病病人餐后高血糖状态，减少24小时内血糖波动，降低空腹血糖，减少胰岛素分泌，利于糖尿病病人的血糖控制。";"/content/image/product2/01.jpg";"/content/image/HomePage/SmallImg/02.jpg"
"10000002";"云龙县党参";358.0;"党参味甘，性平。有补中益气、止渴、健脾益肺，养血生津。用于脾肺气虚，食少倦怠，咳嗽虚喘，气血不足，面色萎黄，心悸气短，津伤口渴，内热消渴。  懒言短气、四肢无力、食欲不佳、气虚、气津两虚、气血双亏以及血虚萎黄等症。但表证未解而中满邪实的不能用。 该品功效与人参相似，惟药力薄弱。治一般虚证，可代替人参使用；虚脱重证，则仍用人参为宜。";"/content/image/product3/01.jpg";"/content/image/HomePage/SmallImg/03.jpg"
"10000003";"云龙县石墨苦荞粉";30.0;"苦荞即苦荞麦，学名鞑靼荞麦（鞑靼，读音dádá，是对中国古代北方少数民族的统称），别名荞叶七、野兰荞、万年荞、 菠麦、乌麦、花荞。比甜荞即荞麦的营养价值高出很多。特别是生物类黄酮的含量是荞麦的13.5倍。";"/content/image/product4/01.jpg";"/content/image/HomePage/SmallImg/04.jpg"
"10000004";"云龙县油牛肝菌";58.0;"牛肝菌味道鲜美，营养丰富。该菌菌体较大，肉肥厚，柄粗壮，食味香甜可口，营养丰富，是一种世界性著名食用菌。西欧各国也有广泛食用白牛肝菌的习惯，除新鲜的作菜外，大部分切片干燥，加工成各种小包装，用来配制汤料或做成酱油浸膏，也有制成盐腌品食用。";"/content/image/product5/01.jpg";"/content/image/HomePage/SmallImg/05.jpg"
"10000005";"云龙县油松茸";58.0;"松茸，学名松口蘑。松茸对生长环境的要求非常苛刻，它只能生长在高寒且没有任何污染和人为干预的原始森林中，非常稀有。被誉为“菌中之王”。";"/content/image/product6/01.jpg";"/content/image/HomePage/SmallImg/06.jpg"
"10000006";"云龙县野生黑木耳";58.0;"黑木耳为我国珍贵的药食兼用胶质真菌，也是世界上公认的保健食品。我国是黑木耳的故乡，中华民族早在4000多年前的神农氏时代便认识、开发了黑木耳，并开始栽培、食用。《礼记》中也有关于帝王宴会上食用黑木耳的记载。";"/content/image/product7/01.jpg";"/content/image/HomePage/SmallImg/07.jpg"
"10000007";"云龙县苗尾小红米";12.0;"红米含有丰富的淀粉与植物蛋白质，可补充消耗的体力及维持身体正常体温。它富含众多的营养素，其中以铁质最为丰富，故有补血及预防贫血的功效。而其内含丰富的磷，维生素A、B群，则能改善营养不良、夜盲症和脚气病等毛病；又能有效舒缓疲劳、精神不振和失眠等症状。";"/content/image/product8/01.jpg";"/content/image/HomePage/SmallImg/08.jpg"
"10000008";"云龙县土碱面条";12.0;"柠檬、橘子等酸性水果，或是食用的醋以及有机酸进入体内后，经过胰液、胆汁、肠液、碳酸的中和后被肝脏吸收，很快燃烧成二氧化碳，对身体不会造成负担。有机酸被分解后，留下的矿物质成分即钾、钠、钙、镁等。所以，消化功能不良的人应该尽量避免过度摄取酸性食物，尤其要减少蛋白质、脂肪、淀粉类食物的摄取，增加碱性食物的比例。";"/content/image/product9/01.jpg";"/content/image/HomePage/SmallImg/09.jpg"
"10000009";"云龙县乳扇";42.0;"乳扇是鲜牛奶煮沸混合三比一的食用酸炼制凝结，制为薄片，缠绕于细竿上晾干而成。应是一种特形干酪。乳扇可作各种菜肴，凉拌、油煎、烧烤皆可。其名菜夹沙乳扇膨酥，入口即化。其他套炸、椒盐都别具一格。";"/content/image/product10/01.jpg";"/content/image/HomePage/SmallImg/10.jpg"
"10000010";"云龙县松花糕";48.0;"松花粉中含有人体所需的 200 多种营养元素。其中 22 种 氨 基 酸、 15 种维生素 、 30 多种矿物质、 100 多种酶，以及核酸、不饱和脂肪酸、卵磷脂、类黄铜、单糖、多糖等。松花粉的营养成分不仅种类全面，且含量也非常高。其中蛋白质总含量是牛肉鸡蛋的 7 到 10 倍;铁比菠菜高出 20 倍; v a 原型胡萝卜素比胡萝卜多 20 到 30 倍。";"/content/image/product11/01.jpg";"/content/image/HomePage/SmallImg/11.jpg"
"10000011";"云龙县米糕";15.0;"松花粉中含有人体所需的 200 多种营养元素。其中 22 种 氨 基 酸、 15 种维生素 、 30 多种矿物质、 100 多种酶，以及核酸、不饱和脂肪酸、卵磷脂、类黄铜、单糖、多糖等。松花粉的营养成分不仅种类全面，且含量也非常高。其中蛋白质总含量是牛肉鸡蛋的 7 到 10 倍;铁比菠菜高出 20 倍; v a 原型胡萝卜素比胡萝卜多 20 到 30 倍。";"/content/image/product12/01.jpg";"/content/image/HomePage/SmallImg/12.jpg"
